file_a,file_b,choice,source_a,source_b,original_file_a,original_file_b
audio/0957.wav,audio/1186.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/99/99359fd6-8d5c-4d19-bb60-3df084faf853.mp3,./dataset/reazonspeech_wav_out/000/22de2c78878b5.wav
audio/1799.wav,audio/0623.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/002/df8958a03bc15.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/92/92e54935-8ffc-4243-b12d-b59cb0e06b9a.mp3
audio/1947.wav,audio/0544.wav,1.0,coco_nut,anim400k,./dataset/coco_nut/wav/0/0663.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/1e/1ec9b64b-e0ba-4506-9e46-53a377edc0b7.mp3
audio/2500.wav,audio/0533.wav,1.0,coco_nut,anim400k,./dataset/coco_nut/wav/7/7653.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/c9/c9a856e7-47b6-42d9-9835-6166284c29f4.mp3
audio/0265.wav,audio/1158.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/30/305beadd-05c2-4a59-958f-fb0b31f87833.mp3,./dataset/reazonspeech_wav_out/003/1ba864b03c443.wav
audio/1590.wav,audio/0489.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/000/a493af1893dfe.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/5d/5d3734a5-85cf-4952-a29a-a91bf8c14b23.mp3
audio/1380.wav,audio/2115.wav,-1.0,reazonspeech,coco_nut,./dataset/reazonspeech_wav_out/001/5d73574385cc2.wav,./dataset/coco_nut/wav/2/2775.wav
audio/1092.wav,audio/0322.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/003/07f80e03c3259.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/0c/0ce3f225-6695-469d-aa4b-96f9b9aa6572.mp3
audio/1736.wav,audio/0121.wav,-1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/003/ced0f972bf044.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/72/72f4c89d-2079-4406-9e7a-de450a798ec6.mp3
audio/1223.wav,audio/0650.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/000/2bb9dc077bcd4.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/e8/e8242594-8e13-481b-8334-0ad5bd7c27de.mp3
audio/0695.wav,audio/1751.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/88/880b09de-5b9c-4a57-a54f-2a0faf5ca643.mp3,./dataset/reazonspeech_wav_out/002/d13b6030f88b4.wav
audio/1816.wav,audio/2133.wav,1.0,reazonspeech,coco_nut,./dataset/reazonspeech_wav_out/000/e45034501fcde.wav,./dataset/coco_nut/wav/3/3115.wav
audio/1318.wav,audio/1916.wav,1.0,reazonspeech,coco_nut,./dataset/reazonspeech_wav_out/002/4996915491b89.wav,./dataset/coco_nut/wav/0/0361.wav
audio/1607.wav,audio/2123.wav,1.0,reazonspeech,coco_nut,./dataset/reazonspeech_wav_out/003/a7d9111a363eb.wav,./dataset/coco_nut/wav/2/2837.wav
audio/2349.wav,audio/0771.wav,1.0,coco_nut,anim400k,./dataset/coco_nut/wav/5/5843.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/7f/7fd6cc9c-e2a2-4b24-9912-6d47e8ebadff.mp3
audio/0732.wav,audio/1640.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/e9/e99bd944-0c5d-4019-8131-46cfb8d3c447.mp3,./dataset/reazonspeech_wav_out/001/b0ddabfd8f850.wav
audio/1933.wav,audio/1298.wav,1.0,coco_nut,reazonspeech,./dataset/coco_nut/wav/0/0502.wav,./dataset/reazonspeech_wav_out/003/41efff064cf2f.wav
audio/0643.wav,audio/1238.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/62/62111e32-b723-4364-95c0-edcecff79139.mp3,./dataset/reazonspeech_wav_out/000/2f036e11cdfb7.wav
audio/1265.wav,audio/0768.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/000/37a6e33d982be.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/2a/2a6661fc-4e53-4cc0-83c0-58e6a7d2aa2c.mp3
audio/2369.wav,audio/0332.wav,1.0,coco_nut,anim400k,./dataset/coco_nut/wav/6/6076.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/ef/eff7f073-042a-4728-92c6-14455df31b87.mp3
audio/2207.wav,audio/0755.wav,1.0,coco_nut,anim400k,./dataset/coco_nut/wav/4/4071.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/5e/5ef9dbb9-52d3-4802-875b-793d481dce9f.mp3
audio/2414.wav,audio/0232.wav,1.0,coco_nut,anim400k,./dataset/coco_nut/wav/6/6609.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/36/36896efe-0fe0-458d-9900-6f4f145cdde4.mp3
audio/2466.wav,audio/1394.wav,1.0,coco_nut,reazonspeech,./dataset/coco_nut/wav/7/7155.wav,./dataset/reazonspeech_wav_out/003/6206d772bbc39.wav
audio/2176.wav,audio/1050.wav,1.0,coco_nut,anim400k,./dataset/coco_nut/wav/3/3872.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/55/55f4060b-f9b0-4105-85c9-2de1e630bd34.mp3
audio/2438.wav,audio/0399.wav,1.0,coco_nut,anim400k,./dataset/coco_nut/wav/6/6761.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/41/417d92f4-e657-434c-bbec-ce3cf72b80f4.mp3
audio/2245.wav,audio/1629.wav,-1.0,coco_nut,reazonspeech,./dataset/coco_nut/wav/4/4609.wav,./dataset/reazonspeech_wav_out/000/acd36b58e5ce8.wav
audio/2129.wav,audio/0762.wav,1.0,coco_nut,anim400k,./dataset/coco_nut/wav/2/2904.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/b6/b6a3b808-124b-4266-ace0-456f4252d3f7.mp3
audio/1513.wav,audio/2156.wav,1.0,reazonspeech,coco_nut,./dataset/reazonspeech_wav_out/003/88dcd10c86dae.wav,./dataset/coco_nut/wav/3/3521.wav
audio/1888.wav,audio/0634.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/003/fdb7185dd24da.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/37/379e7a67-4da6-4a05-9360-2e17dc0adebd.mp3
audio/1814.wav,audio/2115.wav,-1.0,reazonspeech,coco_nut,./dataset/reazonspeech_wav_out/002/e35c79271042b.wav,./dataset/coco_nut/wav/2/2775.wav
audio/0267.wav,audio/2132.wav,-1.0,anim400k,coco_nut,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/88/889b18c4-6eec-410d-bd53-0aa845b522dd.mp3,./dataset/coco_nut/wav/3/3091.wav
audio/1370.wav,audio/2444.wav,-1.0,reazonspeech,coco_nut,./dataset/reazonspeech_wav_out/002/59f4bdaa622f4.wav,./dataset/coco_nut/wav/6/6837.wav
audio/1335.wav,audio/0706.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/000/4cef27e67c11c.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/8d/8db89911-f4dc-4865-b3da-8cc68916037f.mp3
audio/0670.wav,audio/2268.wav,-1.0,anim400k,coco_nut,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/c6/c63470d6-95f8-4a99-a2e0-6993295feeb6.mp3,./dataset/coco_nut/wav/4/4862.wav
audio/0305.wav,audio/2407.wav,-1.0,anim400k,coco_nut,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/56/563d4235-9f8d-4f75-bdc3-2bc99fa7c1ae.mp3,./dataset/coco_nut/wav/6/6557.wav
audio/2335.wav,audio/1268.wav,-1.0,coco_nut,reazonspeech,./dataset/coco_nut/wav/5/5601.wav,./dataset/reazonspeech_wav_out/003/387de7b2cd8cf.wav
audio/2468.wav,audio/0767.wav,1.0,coco_nut,anim400k,./dataset/coco_nut/wav/7/7199.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/f6/f6ae59ce-4f0b-4fdf-a2d9-221768e7e9ff.mp3
audio/0028.wav,audio/2311.wav,1.0,anim400k,coco_nut,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/0c/0ca578dd-6982-4487-ab46-20e20e6a8ffd.mp3,./dataset/coco_nut/wav/5/5366.wav
audio/1977.wav,audio/1849.wav,1.0,coco_nut,reazonspeech,./dataset/coco_nut/wav/1/1028.wav,./dataset/reazonspeech_wav_out/002/f06d7bb2cbfe6.wav
audio/1930.wav,audio/1678.wav,1.0,coco_nut,reazonspeech,./dataset/coco_nut/wav/0/0466.wav,./dataset/reazonspeech_wav_out/003/bccbc02ac7df3.wav
audio/1483.wav,audio/0762.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/001/8082d42b3b4f5.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/b6/b6a3b808-124b-4266-ace0-456f4252d3f7.mp3
audio/1336.wav,audio/0027.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/002/4cef6e0c6f82b.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/fe/fea2325a-ab3f-4dfb-a2bc-0a2773e6589c.mp3
audio/0498.wav,audio/2393.wav,-1.0,anim400k,coco_nut,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/f0/f01a6d0e-c3d5-40c3-930b-24113ff5665f.mp3,./dataset/coco_nut/wav/6/6414.wav
audio/1258.wav,audio/0558.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/000/355375cf7f4b3.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/78/789afbaf-d458-452d-89ac-a995128d222d.mp3
audio/1423.wav,audio/2466.wav,-1.0,reazonspeech,coco_nut,./dataset/reazonspeech_wav_out/003/6d92f153ef8cf.wav,./dataset/coco_nut/wav/7/7155.wav
audio/2412.wav,audio/1077.wav,-1.0,coco_nut,reazonspeech,./dataset/coco_nut/wav/6/6605.wav,./dataset/reazonspeech_wav_out/003/02fc840315582.wav
audio/1008.wav,audio/2486.wav,-1.0,anim400k,coco_nut,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/e1/e1c73798-2c1a-4ae3-8074-6a1a257904eb.mp3,./dataset/coco_nut/wav/7/7482.wav
audio/1209.wav,audio/0764.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/002/290f5ab546e40.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/cc/cc6492ad-c841-4574-8bf3-1778893b2c5f.mp3
audio/1480.wav,audio/0436.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/003/7fc159ddefccd.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/ee/ee4b1455-6fb4-46bf-8659-01dd57a514e4.mp3
audio/1268.wav,audio/2420.wav,1.0,reazonspeech,coco_nut,./dataset/reazonspeech_wav_out/003/387de7b2cd8cf.wav,./dataset/coco_nut/wav/6/6648.wav
audio/0932.wav,audio/1430.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/b7/b7ab5970-c9f8-4597-b8a5-b998cc59465e.mp3,./dataset/reazonspeech_wav_out/003/70a48b4f0c19b.wav
audio/0520.wav,audio/1837.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/50/50a52018-d58e-4c0d-a1b6-c455216f71e7.mp3,./dataset/reazonspeech_wav_out/001/ea99fd2c3f7d0.wav
audio/2078.wav,audio/1389.wav,-1.0,coco_nut,reazonspeech,./dataset/coco_nut/wav/2/2316.wav,./dataset/reazonspeech_wav_out/000/5f68605e550a3.wav
audio/0092.wav,audio/1215.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/df/df513670-9fa0-4b68-8fcf-b1a11cf5a332.mp3,./dataset/reazonspeech_wav_out/001/2a8f4dfd8a3d1.wav
audio/0189.wav,audio/1341.wav,1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/0d/0dc6b2a7-16a7-43a7-baae-af984c047459.mp3,./dataset/reazonspeech_wav_out/000/4e0390c4a19ad.wav
audio/1397.wav,audio/1943.wav,1.0,reazonspeech,coco_nut,./dataset/reazonspeech_wav_out/001/6370bf5c98ee6.wav,./dataset/coco_nut/wav/0/0617.wav
audio/0239.wav,audio/1975.wav,-1.0,anim400k,coco_nut,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/64/6462b365-fa70-4bf1-9954-3d4f4cbce3a0.mp3,./dataset/coco_nut/wav/1/1021.wav
audio/0336.wav,audio/2296.wav,-1.0,anim400k,coco_nut,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/d9/d9994459-736f-4fe1-84d4-833bd6f1be13.mp3,./dataset/coco_nut/wav/5/5214.wav
audio/1870.wav,audio/0165.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/000/f60ee0546d430.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/b2/b2460fdc-7ba6-4211-a714-d5278c854ee8.mp3
audio/0540.wav,audio/2012.wav,-1.0,anim400k,coco_nut,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/5a/5af6513a-6ec0-41df-98ac-225fcb0e8da9.mp3,./dataset/coco_nut/wav/1/1488.wav
audio/1372.wav,audio/0904.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/002/5a315a1c48dae.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/b2/b244b38b-0d0e-4ab1-ad17-bf76214f734f.mp3
audio/1983.wav,audio/0031.wav,1.0,coco_nut,anim400k,./dataset/coco_nut/wav/1/1141.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/7c/7c7a6339-f6a7-4cb6-8977-1eee9c607496.mp3
audio/1172.wav,audio/2003.wav,-1.0,reazonspeech,coco_nut,./dataset/reazonspeech_wav_out/000/1e75c02061f10.wav,./dataset/coco_nut/wav/1/1294.wav
audio/1977.wav,audio/1266.wav,-1.0,coco_nut,reazonspeech,./dataset/coco_nut/wav/1/1028.wav,./dataset/reazonspeech_wav_out/000/37db7daf2564a.wav
audio/0651.wav,audio/1219.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/16/1602e8b9-cf54-4fda-b39b-c13b3e2c6458.mp3,./dataset/reazonspeech_wav_out/003/2b318eba34145.wav
audio/0521.wav,audio/2337.wav,-1.0,anim400k,coco_nut,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/5e/5ed38c10-bf1a-4e4d-84b1-602aa97bf4f8.mp3,./dataset/coco_nut/wav/5/5652.wav
audio/0625.wav,audio/2461.wav,-1.0,anim400k,coco_nut,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/09/09dcf9ab-f4d9-41d3-ab54-994733068b7f.mp3,./dataset/coco_nut/wav/6/6952.wav
audio/0392.wav,audio/1393.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/e4/e42ccacf-155e-46ce-9337-2b44c5dfa6dd.mp3,./dataset/reazonspeech_wav_out/002/617d7d3df97b1.wav
audio/0318.wav,audio/1555.wav,1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/2f/2f729eea-ca0a-4522-a696-3798927fb53a.mp3,./dataset/reazonspeech_wav_out/002/98bf1a626040d.wav
audio/1965.wav,audio/1804.wav,-1.0,coco_nut,reazonspeech,./dataset/coco_nut/wav/0/0942.wav,./dataset/reazonspeech_wav_out/001/e0c623406e182.wav
audio/1323.wav,audio/0383.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/003/4a87ebf63d5fe.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/32/32c0132d-ce82-4931-aa17-8af039f8fe34.mp3
audio/2374.wav,audio/0159.wav,1.0,coco_nut,anim400k,./dataset/coco_nut/wav/6/6126.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/a2/a2e0840c-f4af-4a1d-ae41-0441cd6bdfdb.mp3
audio/1628.wav,audio/0499.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/001/acc8590807bb6.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/3b/3b662708-439a-4abd-9338-58eea56aa223.mp3
audio/0092.wav,audio/1460.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/df/df513670-9fa0-4b68-8fcf-b1a11cf5a332.mp3,./dataset/reazonspeech_wav_out/001/7a883f40ba319.wav
audio/0295.wav,audio/2318.wav,-1.0,anim400k,coco_nut,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/d3/d3b9f839-c2c3-4c52-b941-ef0273a02f1b.mp3,./dataset/coco_nut/wav/5/5427.wav
audio/0715.wav,audio/2104.wav,-1.0,anim400k,coco_nut,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/14/14fd0202-4364-4221-87d9-31bb6d43ca57.mp3,./dataset/coco_nut/wav/2/2590.wav
audio/1942.wav,audio/0056.wav,1.0,coco_nut,anim400k,./dataset/coco_nut/wav/0/0608.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/b7/b727672e-0df5-4b4d-bfe5-8fc4c1a3806a.mp3
audio/1230.wav,audio/0887.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/000/2cc6181df087b.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/0d/0d247132-6e72-41b8-8742-31d6b62661c4.mp3
audio/0496.wav,audio/1093.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/b5/b5437b10-30f2-466d-bce2-b3c218382fd0.mp3,./dataset/reazonspeech_wav_out/000/082d2daf7314b.wav
audio/0753.wav,audio/1515.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/46/46ef0dea-0089-4fd1-85a3-7d8fd781ceb2.mp3,./dataset/reazonspeech_wav_out/002/894d4b5e73c08.wav
audio/2252.wav,audio/1053.wav,1.0,coco_nut,anim400k,./dataset/coco_nut/wav/4/4664.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/11/115d4bc8-be78-4383-8169-2710d84521d8.mp3
audio/0396.wav,audio/2474.wav,-1.0,anim400k,coco_nut,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/f3/f3faaedc-e864-4adc-8616-1ccc4f3c6ac5.mp3,./dataset/coco_nut/wav/7/7293.wav
audio/0143.wav,audio/1652.wav,1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/f5/f5d773cd-4194-4634-80f5-0ee8a2f6acf6.mp3,./dataset/reazonspeech_wav_out/003/b4f120ce57dec.wav
audio/0912.wav,audio/1345.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/8b/8be16c80-0ccf-408c-9152-2ffbba5efa7f.mp3,./dataset/reazonspeech_wav_out/000/508b216b9d31d.wav
audio/1847.wav,audio/1030.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/002/efc16f041abd4.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/d0/d010e815-0a8c-46c8-a0ba-be1fd9b62c06.mp3
audio/1763.wav,audio/0193.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/003/d4fffde01fadd.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/ef/ef141817-4151-44b2-8010-b4648f3250cc.mp3
audio/1005.wav,audio/1865.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/8a/8a84d714-2c3d-49a1-b8ea-68a0eb577547.mp3,./dataset/reazonspeech_wav_out/002/f417136b5aa02.wav
audio/0798.wav,audio/1389.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/ab/abcf9c27-abe6-4987-a902-06704c69bfc1.mp3,./dataset/reazonspeech_wav_out/000/5f68605e550a3.wav
audio/0569.wav,audio/2287.wav,-1.0,anim400k,coco_nut,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/7a/7ab89764-66bc-41c8-8a62-763242594207.mp3,./dataset/coco_nut/wav/5/5146.wav
audio/0008.wav,audio/1450.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/41/413c1c6f-ba48-4380-92ba-74ba94aff147.mp3,./dataset/reazonspeech_wav_out/002/7819fa1534e2e.wav
audio/1205.wav,audio/0189.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/003/281bb446e8848.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/0d/0dc6b2a7-16a7-43a7-baae-af984c047459.mp3
audio/1718.wav,audio/2150.wav,-1.0,reazonspeech,coco_nut,./dataset/reazonspeech_wav_out/001/ca20156170193.wav,./dataset/coco_nut/wav/3/3435.wav
audio/0631.wav,audio/1863.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/2a/2aef01a7-8c26-442b-95a8-4534d8f406b8.mp3,./dataset/reazonspeech_wav_out/002/f3b62bf60e317.wav
audio/0873.wav,audio/2450.wav,-1.0,anim400k,coco_nut,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/f1/f197e361-fe7d-4336-9808-fa67691993f2.mp3,./dataset/coco_nut/wav/6/6859.wav
audio/1633.wav,audio/0553.wav,-1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/002/ae161925d7cab.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/37/37b34a7e-0ae8-40c6-9075-60f462e80e45.mp3
audio/2490.wav,audio/1430.wav,-1.0,coco_nut,reazonspeech,./dataset/coco_nut/wav/7/7544.wav,./dataset/reazonspeech_wav_out/003/70a48b4f0c19b.wav
audio/0154.wav,audio/1196.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/98/983f568f-0cd4-450c-8a8d-a417f128f5d4.mp3,./dataset/reazonspeech_wav_out/001/2674b565beea2.wav
audio/1207.wav,audio/0221.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/001/28cc5ba877e0a.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/02/02e91e75-742e-44fd-b78b-7b41ae4540a6.mp3
audio/2034.wav,audio/0120.wav,1.0,coco_nut,anim400k,./dataset/coco_nut/wav/1/1699.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/f4/f4223c48-355d-4238-bfc7-34313aaf525f.mp3
audio/2402.wav,audio/0936.wav,1.0,coco_nut,anim400k,./dataset/coco_nut/wav/6/6512.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/f2/f23faab2-8e3f-45d5-908d-4ac261d455f2.mp3
audio/0705.wav,audio/1108.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/38/389b72d2-7ca0-486b-a420-3a3be0b62742.mp3,./dataset/reazonspeech_wav_out/002/0cfcb5883a71b.wav
audio/2432.wav,audio/1154.wav,-1.0,coco_nut,reazonspeech,./dataset/coco_nut/wav/6/6738.wav,./dataset/reazonspeech_wav_out/002/19f1a6e89d131.wav
audio/0793.wav,audio/1615.wav,1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/b4/b4c94d91-db04-4c97-9a05-2e28605f334c.mp3,./dataset/reazonspeech_wav_out/001/aa46cbc614c9f.wav
audio/1609.wav,audio/0567.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/001/a854fa1cdbcfe.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/1f/1f38f6b2-ab4e-4589-aef0-8a5643a3a184.mp3
audio/0300.wav,audio/1171.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/1f/1f840e33-cb02-449d-a0cd-5e2c4c8cf06a.mp3,./dataset/reazonspeech_wav_out/001/1e704e533b554.wav
audio/2105.wav,audio/1048.wav,1.0,coco_nut,anim400k,./dataset/coco_nut/wav/2/2593.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/02/02eb1566-dec5-4025-9023-59f7c50cb642.mp3
