file_a,file_b,choice,source_a,source_b,original_file_a,original_file_b,speaker_cos,text_cos
audio/01315.wav,audio/01005.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/001/2cae4881ec732.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/f9/f998f72b-55dc-48f8-8c41-b6d4ae84d240.mp3,,
audio/00495.wav,audio/01647.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/7f/7ff4a80e-d465-4eb3-923a-047645d95764.mp3,./dataset/reazonspeech_wav_out/002/a508d5155b804.wav,,
audio/00030.wav,audio/01154.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/07/071356b0-ff2a-4d77-806f-85ed7e5bb70c.mp3,./dataset/reazonspeech_wav_out/000/7e3ae617be191.wav,,
audio/01360.wav,audio/00817.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/001/60dddd3077a70.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/ce/ce722b58-65e1-452e-bf1c-67c7fe2587f8.mp3,,
audio/01349.wav,audio/00886.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/001/5271ef96d3ce0.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/dd/dd516fe7-03f0-4a28-b419-2d5bea4a890d.mp3,,
audio/01040.wav,audio/00728.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/000/082d2daf7314b.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/ba/ba718bb6-ccd2-4061-8d8e-a8a805627317.mp3,,
audio/01010.wav,audio/01392.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/fb/fb5926ff-514e-4e91-9aa3-a458ee35b0e5.mp3,./dataset/reazonspeech_wav_out/001/8360ce0383079.wav,,
audio/01486.wav,audio/00960.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/001/dfac0a9871754.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/ee/eedad370-e93a-4ffa-a429-9cfd0f04e35a.mp3,,
audio/00444.wav,audio/01614.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/70/70fd71e9-703d-4441-9b0d-be4812b7aedd.mp3,./dataset/reazonspeech_wav_out/002/7960aa6477ad1.wav,,
audio/00773.wav,audio/01515.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/c3/c3bbbeef-f67d-4022-a451-a918542dfac5.mp3,./dataset/reazonspeech_wav_out/002/0cfcb5883a71b.wav,,
audio/01623.wav,audio/01144.wav,-1.0,reazonspeech,reazonspeech,./dataset/reazonspeech_wav_out/002/83ab8cef04e96.wav,./dataset/reazonspeech_wav_out/000/70b5778cc58be.wav,0.635513424873352,0.667053759098053
audio/01855.wav,audio/00399.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/003/7686a42e3dd25.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/65/6572257e-b28c-45fc-bb1e-2b7fd857a2fb.mp3,,
audio/01088.wav,audio/00586.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/000/37db7daf2564a.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/95/956a77ff-c8ae-4371-950f-1cec383c211a.mp3,,
audio/00910.wav,audio/01392.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/e2/e25f4678-6dbc-4485-a3db-34f6ce27d204.mp3,./dataset/reazonspeech_wav_out/001/8360ce0383079.wav,,
audio/01820.wav,audio/00200.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/003/4a87ebf63d5fe.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/32/32c0132d-ce82-4931-aa17-8af039f8fe34.mp3,,
audio/01585.wav,audio/00199.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/002/51155fee149df.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/32/32519253-d550-43d4-99ad-433cee2376aa.mp3,,
audio/00328.wav,audio/01690.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/53/5397f02b-065a-43b9-b15f-58c35f107018.mp3,./dataset/reazonspeech_wav_out/002/d2c5ab2b84efe.wav,,
audio/00699.wav,audio/01639.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/b2/b2b95d72-2e7e-429b-a9bb-893119bcd1a6.mp3,./dataset/reazonspeech_wav_out/002/98bf1a626040d.wav,,
audio/01376.wav,audio/00602.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/001/77356d7710300.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/98/983f568f-0cd4-450c-8a8d-a417f128f5d4.mp3,,
audio/00149.wav,audio/01096.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/22/22968a15-8dfd-4a6a-a277-bb5f65def69d.mp3,./dataset/reazonspeech_wav_out/000/43233f6b82c1b.wav,,
audio/00742.wav,audio/01889.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/bd/bd47978f-01a5-4b0c-b13e-bf7bcac5586d.mp3,./dataset/reazonspeech_wav_out/003/a4a53856d09ac.wav,,
audio/00679.wav,audio/01123.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/ac/ac8b7213-f460-4974-80eb-e73e9a4145dc.mp3,./dataset/reazonspeech_wav_out/000/5c02f3c3448d6.wav,,
audio/01822.wav,audio/00999.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/003/4c0bb0f7bffeb.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/f7/f74c77b4-af6e-4a08-9984-3409ad3183a4.mp3,,
audio/01099.wav,audio/00664.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/000/4749445df1d3e.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/a8/a8562f8e-b955-442f-a53a-54d6fbad05e0.mp3,,
audio/01703.wav,audio/01675.wav,-1.0,reazonspeech,reazonspeech,./dataset/reazonspeech_wav_out/002/db3f0ccd612b2.wav,./dataset/reazonspeech_wav_out/002/c7cab64e113ca.wav,0.6715337634086609,0.6999003887176514
audio/01473.wav,audio/00896.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/001/d510654d59205.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/df/df01e6b3-9b33-41a8-882b-55f0311fa09e.mp3,,
audio/00992.wav,audio/00261.wav,1.0,anim400k,anim400k,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/f5/f5d773cd-4194-4634-80f5-0ee8a2f6acf6.mp3,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/40/408a1080-d361-4ac6-be2f-b08881f1cae6.mp3,0.6921438574790955,0.6532551646232605
audio/00540.wav,audio/01650.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/8a/8a7ccfbd-6c0f-4667-8d4a-f08ff14878f7.mp3,./dataset/reazonspeech_wav_out/002/abbe9a7510ef7.wav,,
audio/01939.wav,audio/00720.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/003/d8e345eb37573.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/b7/b7ab5970-c9f8-4597-b8a5-b998cc59465e.mp3,,
audio/01093.wav,audio/00965.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/000/3e3f83f8e61ff.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/ef/ef62d005-4a7b-46e4-aa06-f0e2b26f81a0.mp3,,
audio/00450.wav,audio/00415.wav,1.0,anim400k,anim400k,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/72/72f4c89d-2079-4406-9e7a-de450a798ec6.mp3,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/69/6921d968-4ab5-4f28-90f3-9773ceb91154.mp3,0.6694068312644958,0.6677348017692566
audio/00809.wav,audio/01125.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/cb/cb31f991-fb41-447a-b8ad-70c0e1f3ca1b.mp3,./dataset/reazonspeech_wav_out/000/5c6942d484b97.wav,,
audio/01924.wav,audio/01133.wav,-1.0,reazonspeech,reazonspeech,./dataset/reazonspeech_wav_out/003/c75b2ec068e01.wav,./dataset/reazonspeech_wav_out/000/63fc9a0c0db41.wav,0.6999213099479675,0.8396448493003845
audio/00277.wav,audio/01200.wav,1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/45/45352f55-2f73-4d70-9de9-332a1a721861.mp3,./dataset/reazonspeech_wav_out/000/acd36b58e5ce8.wav,,
audio/01248.wav,audio/00066.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/000/e300571342a81.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/0f/0f7e19bf-f853-44c2-9183-c04a0b81cfc6.mp3,,
audio/00998.wav,audio/01926.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/f7/f747b2da-f47a-4a95-85cd-cc6a0309f9ca.mp3,./dataset/reazonspeech_wav_out/003/ca6433aabcf14.wav,,
audio/01689.wav,audio/00662.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/002/d13b6030f88b4.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/a8/a80a2054-e25f-4729-844a-d49ec9a58405.mp3,,
audio/00101.wav,audio/01928.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/17/1748df4f-5f08-47a6-89b0-16b7c541f0b3.mp3,./dataset/reazonspeech_wav_out/003/cdcf829a0f997.wav,,
audio/01913.wav,audio/00494.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/003/b6a5d3d97a741.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/7f/7fd6cc9c-e2a2-4b24-9912-6d47e8ebadff.mp3,,
audio/00957.wav,audio/01895.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/ee/ee4b1455-6fb4-46bf-8659-01dd57a514e4.mp3,./dataset/reazonspeech_wav_out/003/a7d9111a363eb.wav,,
audio/01251.wav,audio/00371.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/000/e52344d804d90.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/5e/5ed38c10-bf1a-4e4d-84b1-602aa97bf4f8.mp3,,
audio/01954.wav,audio/01903.wav,-1.0,reazonspeech,reazonspeech,./dataset/reazonspeech_wav_out/003/f0af5134393b1.wav,./dataset/reazonspeech_wav_out/003/af63abdf700cd.wav,0.6441743969917297,0.6639864444732666
audio/00542.wav,audio/01262.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/8b/8b07a662-5973-4b39-950d-7e12e5743536.mp3,./dataset/reazonspeech_wav_out/000/f45846193a13f.wav,,
audio/01189.wav,audio/00799.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/000/9d65ac236083e.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/c9/c93f60f1-e724-4186-8240-e9e746e7cfc4.mp3,,
audio/00354.wav,audio/01776.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/5a/5af6513a-6ec0-41df-98ac-225fcb0e8da9.mp3,./dataset/reazonspeech_wav_out/003/1fe0e52081c81.wav,,
audio/00264.wav,audio/01187.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/40/40ba2cd1-1507-44be-99c6-1439a1b931f2.mp3,./dataset/reazonspeech_wav_out/000/9b9568d35c0fe.wav,,
audio/00918.wav,audio/01517.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/e3/e39d4c3c-cd18-4be9-9cab-611626e8573a.mp3,./dataset/reazonspeech_wav_out/002/0dec94d180a9b.wav,0.6035689115524292,0.665415346622467
audio/01056.wav,audio/00407.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/000/153db09362caf.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/67/6789eb03-54ae-4118-bb81-083bc53b1570.mp3,,
audio/01827.wav,audio/00551.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/003/5130ad8a2065f.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/8e/8e06ceb5-f418-40d3-a9e6-7373f3fea204.mp3,0.6062965393066406,0.6568536758422852
audio/01416.wav,audio/00185.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/001/9e742367c61da.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/2e/2efa3bb1-c243-454d-883b-fcb095ece69d.mp3,,
audio/01056.wav,audio/00133.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/000/153db09362caf.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/1f/1f2207b6-67ab-48e1-8731-6b3903c852e8.mp3,,
audio/01242.wav,audio/00948.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/000/dba69598dc6dd.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/ec/ec725c2d-88a8-4a07-aa33-6b7bb5fa31bc.mp3,0.6562456488609314,0.6563965082168579
audio/01952.wav,audio/00825.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/003/ed422a6efc24d.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/cf/cfd04a8b-e27d-4efa-8317-ae625c3cdd95.mp3,,
audio/01685.wav,audio/00613.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/002/cfeab810b45bf.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/9b/9b7cb7e7-442f-4484-bb51-c9b7bcb9672f.mp3,,
audio/00983.wav,audio/01601.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/f3/f3c5d217-363d-448c-9eae-b74ece7cf8ca.mp3,./dataset/reazonspeech_wav_out/002/66f81f106d327.wav,,
audio/00303.wav,audio/01496.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/4c/4ccc412f-b086-4142-b538-81a1750795d6.mp3,./dataset/reazonspeech_wav_out/001/f16b128a7eabb.wav,,
audio/01276.wav,audio/00563.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/001/052e7663ddd0d.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/8f/8fb47e3c-b706-488a-aecd-37e85f192b9c.mp3,,
audio/00524.wav,audio/01111.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/86/86d1cd16-4249-4027-8394-3fa961288d6c.mp3,./dataset/reazonspeech_wav_out/000/5077f4f66ee9c.wav,,
audio/01577.wav,audio/00760.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/002/4391174b69656.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/c0/c0bbf08d-cc9c-4b88-8a6c-094ad9e9c279.mp3,0.6920875310897827,0.6765514612197876
audio/01705.wav,audio/00787.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/002/dc8912f116f27.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/c6/c6a3d4a3-c67a-4474-bd63-eda048af5fde.mp3,0.6205066442489624,0.6987478733062744
audio/01833.wav,audio/00547.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/003/5936796c73ad7.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/8c/8cf62109-5fa2-477f-ac06-14dd3b47c8e7.mp3,0.6687674522399902,0.68719083070755
audio/00970.wav,audio/01498.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/f0/f0b78e44-195e-4bef-8992-91bead5ab3b8.mp3,./dataset/reazonspeech_wav_out/001/f2cfeba6cd32f.wav,,
audio/01570.wav,audio/00978.wav,-1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/002/3f04eb74456bf.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/f2/f23faab2-8e3f-45d5-908d-4ac261d455f2.mp3,,
audio/01743.wav,audio/00566.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/003/01270caeb3e8f.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/90/90d8c6e7-0987-4bc5-b176-7bd7c036dfd7.mp3,,
audio/01127.wav,audio/00349.wav,-1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/000/5f5db011163eb.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/59/595aaf17-16df-4273-9d01-97799632e5f8.mp3,,
audio/01962.wav,audio/00157.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/003/fb0d0b91f01a0.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/25/25b0b9c0-1da7-4ee6-80c7-2abd9c3db94c.mp3,,
audio/00539.wav,audio/01745.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/8a/8a721267-8f01-49b3-97f2-5bac6b4a8212.mp3,./dataset/reazonspeech_wav_out/003/046e6a3f7f495.wav,,
audio/01587.wav,audio/00498.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/002/53dfae5a073d2.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/80/8053d864-c453-485f-81bc-6d2f78c37f85.mp3,,
audio/00027.wav,audio/01352.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/06/06684e24-42de-48fa-a3ec-672504b2b6c1.mp3,./dataset/reazonspeech_wav_out/001/55ca992887d68.wav,,
audio/01043.wav,audio/00303.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/000/0c2fc37ee6bec.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/4c/4ccc412f-b086-4142-b538-81a1750795d6.mp3,,
audio/01252.wav,audio/00767.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/000/e6be73f20e1e3.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/c1/c1d40554-a849-471d-a390-7f5272aba149.mp3,,
audio/00061.wav,audio/01923.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/0e/0ee5d949-ced8-4023-8eac-6cbfa955dbaf.mp3,./dataset/reazonspeech_wav_out/003/c4b30805dc5b0.wav,,
audio/00769.wav,audio/01040.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/c2/c2f437d0-4d18-48cd-9542-4f5ff929798a.mp3,./dataset/reazonspeech_wav_out/000/082d2daf7314b.wav,,
audio/01805.wav,audio/00175.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/003/3e05708608ab5.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/2b/2b2c9c78-bdaf-4e80-8be7-5da25fa388f7.mp3,0.6920825242996216,0.6792181730270386
audio/00136.wav,audio/01572.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/1f/1fbf49ac-bb88-4f6b-9d34-e400d4ea5c08.mp3,./dataset/reazonspeech_wav_out/002/40a02a111cbe8.wav,,
audio/01641.wav,audio/01141.wav,-1.0,reazonspeech,reazonspeech,./dataset/reazonspeech_wav_out/002/9b27eff570134.wav,./dataset/reazonspeech_wav_out/000/6e3298ae5a0de.wav,0.635322093963623,0.6540689468383789
audio/01024.wav,audio/01670.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/fe/fea2325a-ab3f-4dfb-a2bc-0a2773e6589c.mp3,./dataset/reazonspeech_wav_out/002/c561b9f6d3fff.wav,0.5851649641990662,0.6695057153701782
audio/01834.wav,audio/00458.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/003/5d9ee5a997e79.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/75/754e170e-93eb-455e-962a-c29b62000563.mp3,,
audio/01024.wav,audio/00624.wav,1.0,anim400k,anim400k,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/fe/fea2325a-ab3f-4dfb-a2bc-0a2773e6589c.mp3,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/9e/9edd17aa-2473-4a62-84c2-bdf522f9b349.mp3,0.698545515537262,0.7088179588317871
audio/00398.wav,audio/01576.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/65/6561cdc1-13ca-493e-a61d-86a89c5e5fc4.mp3,./dataset/reazonspeech_wav_out/002/4350ea6aa749c.wav,0.6645821332931519,0.6524242162704468
audio/01796.wav,audio/00013.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/003/32626526ffd76.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/02/022bdc65-fb70-48ef-b330-ee93a0a96c35.mp3,,
audio/01431.wav,audio/00503.wav,-1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/001/a8b6cfc51fa1e.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/81/8136007c-50ce-4d1b-bdbb-1519e8599696.mp3,,
audio/00521.wav,audio/01357.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/86/8681bca4-25e9-4bee-8c52-7dd5620a6fd0.mp3,./dataset/reazonspeech_wav_out/001/5b30e72b26326.wav,,
audio/00494.wav,audio/01818.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/7f/7fd6cc9c-e2a2-4b24-9912-6d47e8ebadff.mp3,./dataset/reazonspeech_wav_out/003/4a027f4883908.wav,,
audio/01711.wav,audio/00551.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/002/e1ae5cb4f5355.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/8e/8e06ceb5-f418-40d3-a9e6-7373f3fea204.mp3,0.6938695907592773,0.6506924629211426
audio/01728.wav,audio/00160.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/002/f1502587cdc1b.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/26/261d9064-e529-4d03-a655-32fb92b03021.mp3,,
audio/01547.wav,audio/00813.wav,1.0,reazonspeech,anim400k,./dataset/reazonspeech_wav_out/002/290f5ab546e40.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/cc/cc6492ad-c841-4574-8bf3-1778893b2c5f.mp3,,
audio/00265.wav,audio/01762.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/41/410ea7c7-9952-4b5e-87a2-c75d22f8f9b9.mp3,./dataset/reazonspeech_wav_out/003/12089592576f5.wav,,
audio/00048.wav,audio/01866.wav,-1.0,anim400k,reazonspeech,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/0c/0c93da63-014d-4694-9333-73647ba490ab.mp3,./dataset/reazonspeech_wav_out/003/8020b72cc85de.wav,,
